onset	duration	trial_type	value	sample	StimulusPresentation
2.0475	0.005	begin	1	2457	PsychophysicsToolbox
7.0875	0.005	stim_on	4	8505	PsychophysicsToolbox
7.894166666666667	0.005	resp	3	9473	PsychophysicsToolbox
8.703333333333333	0.005	stim_on	4	10444	PsychophysicsToolbox
9.526666666666667	0.005	resp	3	11432	PsychophysicsToolbox
10.286666666666669	0.005	stim_on	4	12344	PsychophysicsToolbox
10.986666666666666	0.005	resp	3	13184	PsychophysicsToolbox
11.953333333333331	0.005	stim_on	4	14344	PsychophysicsToolbox
12.718333333333334	0.005	resp	3	15262	PsychophysicsToolbox
13.503333333333334	0.005	stim_on	4	16204	PsychophysicsToolbox
14.3425	0.005	resp	3	17211	PsychophysicsToolbox
15.07	0.005	stim_on	4	18084	PsychophysicsToolbox
15.815	0.005	resp	3	18978	PsychophysicsToolbox
16.42	0.005	stim_on	4	19704	PsychophysicsToolbox
17.246666666666666	0.005	resp	3	20696	PsychophysicsToolbox
17.82	0.005	stim_on	4	21384	PsychophysicsToolbox
18.470833333333335	0.005	resp	3	22165	PsychophysicsToolbox
19.153333333333332	0.005	stim_on	4	22984	PsychophysicsToolbox
19.718333333333337	0.005	resp	3	23662	PsychophysicsToolbox
20.636666666666667	0.005	stim_on	4	24764	PsychophysicsToolbox
21.3025	0.005	resp	3	25563	PsychophysicsToolbox
22.086666666666662	0.005	stim_on	4	26504	PsychophysicsToolbox
22.615	0.005	resp	3	27138	PsychophysicsToolbox
23.52	0.005	stim_on	4	28224	PsychophysicsToolbox
24.110833333333332	0.005	resp	3	28933	PsychophysicsToolbox
25.036666666666665	0.005	stim_on	4	30044	PsychophysicsToolbox
25.80666666666667	0.005	resp	3	30968	PsychophysicsToolbox
26.095	0.005	resp	3	31314	PsychophysicsToolbox
26.419166666666666	0.005	stim_on	4	31703	PsychophysicsToolbox
27.206666666666667	0.005	resp	3	32648	PsychophysicsToolbox
28.1025	0.005	stim_on	4	33723	PsychophysicsToolbox
28.8225	0.005	resp	3	34587	PsychophysicsToolbox
29.785833333333333	0.005	stim_on	4	35743	PsychophysicsToolbox
30.350833333333338	0.005	resp	3	36421	PsychophysicsToolbox
31.335833333333333	0.005	stim_on	4	37603	PsychophysicsToolbox
32.11083333333333	0.005	resp	3	38533	PsychophysicsToolbox
32.6525	0.005	stim_on	4	39183	PsychophysicsToolbox
33.455	0.005	resp	3	40146	PsychophysicsToolbox
34.31916666666667	0.005	stim_on	4	41183	PsychophysicsToolbox
35.119166666666665	0.005	resp	3	42143	PsychophysicsToolbox
35.9025	0.005	stim_on	4	43083	PsychophysicsToolbox
36.55916666666667	0.005	resp	3	43871	PsychophysicsToolbox
37.23583333333333	0.005	stim_on	4	44683	PsychophysicsToolbox
38.04666666666667	0.005	resp	3	45656	PsychophysicsToolbox
38.9525	0.005	stim_on	4	46743	PsychophysicsToolbox
39.74333333333333	0.005	resp	3	47692	PsychophysicsToolbox
40.38583333333333	0.005	stim_on	4	48463	PsychophysicsToolbox
41.030833333333334	0.005	resp	3	49237	PsychophysicsToolbox
42.01916666666666	0.005	stim_on	4	50423	PsychophysicsToolbox
42.575	0.005	resp	3	51090	PsychophysicsToolbox
43.51916666666666	0.005	stim_on	4	52223	PsychophysicsToolbox
44.255	0.005	resp	3	53106	PsychophysicsToolbox
44.535	0.005	resp	3	53442	PsychophysicsToolbox
45.06916666666667	0.005	stim_on	4	54083	PsychophysicsToolbox
45.895	0.005	resp	3	55074	PsychophysicsToolbox
46.56916666666667	0.005	stim_on	4	55883	PsychophysicsToolbox
47.295	0.005	resp	3	56754	PsychophysicsToolbox
